,prices,p,nom_total,d_tilde,,pric-p,nom-tilde,,ga_tilde,,,b,c,lamda else calc
0,0.02576471,0,38019.81822,38051.82211,,0.02576471,-32.00388399,,-0.82457079,,,7.95,-82.38,-336.8108778
1,0.02388076,0,37648.72894,37707.55946,,0.02388076,-58.83052042,,-1.404917539,,,7.95,-82.38,-550.0826374
2,0.02191809,0,37440.70244,37501.22265,,0.02191809,-60.52021102,,-1.326487432,,,7.95,-82.38,-563.5156776
3,0.01962237,0,36553.47253,36599.26414,,0.01962237,-45.79160476,,-0.898539811,,,7.95,-82.38,-446.4232578
4,0.01984479,0,36235.04876,36304.07179,,0.01984479,-69.02303125,,-1.36974756,,,7.95,-82.38,-631.1130984
5,0.02509045,0,36403.15374,36466.55552,,0.02509045,-63.40178213,,-1.590779245,,,7.95,-82.38,-586.424168
6,0.02499305,0,36873.91252,36918.33244,,0.02499305,-44.41992774,,-1.110189475,,,7.95,-82.38,-435.5184255
7,0.02255181,0,37209.21281,37267.72674,,0.02255181,-58.51393251,,-1.319595088,,,7.95,-82.38,-547.5657634
8,0.01684952,0,37812.86375,37871.21271,,0.01684952,-58.3489644,,-0.983152043,,,7.95,-82.38,-546.254267
9,0.01703261,0,38462.74258,38492.3966,,0.01703261,-29.65402037,,-0.505085364,,,7.95,-82.38,-318.129462
10,0.01843098,0,40072.02619,40130.52529,,0.01843098,-58.49909207,,-1.078195596,,,7.95,-82.38,-547.4477819
11,0.02396503,0,41439.3781,41508.91685,,0.02396503,-69.53875758,,-1.666498412,,,7.95,-82.38,-635.2131227
12,0.02598486,0.002750926,42051.30789,41809.35553,,0.023233934,241.9523541,,5.621504972,,,7.95,-82.38,1841.141215
13,0.0307526,0.000171844,42291.13852,42327.60037,,0.030580756,-36.46185062,,-1.115030964,,,7.95,-82.38,-372.2517124
14,0.03409971,0,43452.1732,43507.07704,,0.03409971,-54.90384311,,-1.872205128,,,7.95,-82.38,-518.8655527
15,0.04265038,0,42813.60233,42878.79851,,0.04265038,-65.1961817,,-2.780641924,,,7.95,-82.38,-600.6896445
16,0.0479632,0,42418.49484,42477.30875,,0.0479632,-58.81390982,,-2.82090332,,,7.95,-82.38,-549.9505831
17,0.0595037,0,42268.58241,42326.33979,,0.0595037,-57.75737447,,-3.436777483,,,7.95,-82.38,-541.551127
18,0.0732513,0.01684952,42099.7025,40429.60422,,0.05640178,1670.098282,,94.19651588,,,7.95,-82.38,13194.90134
19,0.11047397,0.01684952,41085.95159,39364.09,,0.09362445,1721.861589,,161.2083442,,,7.95,-82.38,13606.41963
20,0.07157856,0.01684952,40322.35407,38583.00533,,0.05472904,1739.348736,,95.19288655,,,7.95,-82.38,13745.44245
21,0.04664244,0,39164.02746,39228.6417,,0.04664244,-64.61424496,,-3.013766044,,,7.95,-82.38,-596.0632474
22,0.03269036,0,38103.43883,38133.07976,,0.03269036,-29.64092563,,-0.96897253,,,7.95,-82.38,-318.0253588
23,0.02894639,0,37793.80642,37869.80099,,0.02894639,-75.99456686,,-2.19976837,,,7.95,-82.38,-686.5368065
,,,,,,,,,,,,,,
,,,948035.6406,943754.3083,,,,,,,,,,
,,,,,,,,Total $,323.9334275,,,,,32059.47207
,,,,4281.332335,,,,,,,,,,